PA,Pilot Option,PA Checklist %,PA Last Update,SPOC Checklist %,SPOC Last Update,Country
DeiC,Unknown,0,N/A,0,N/A,Unknown
Finnish_National_Agency_for_Education_OPH,Unknown,0,2025-04-07,0,2025-04-07,Unknown
University_of_Murcia,Unknown,0,2025-04-07,0,2025-04-07,Unknown
"Politehnica_University_Timisoara,_Romania",Unknown,0,2025-04-07,0,2025-04-07,Unknown
Neumann_János_Intézet,Unknown,0,2025-04-07,0,2025-04-07,Unknown
CGCOM,Unknown,0,2025-04-07,0,2025-04-07,Unknown
OPI_PIB,Unknown,0,2025-04-07,0,2025-04-07,Unknown
Universidad_Carlos_III_de_Madrid,Unknown,0,2025-04-07,0,2025-04-07,Unknown
UEFISCDI,Unknown,0,2025-04-07,0,2025-04-07,Unknown
Universidad_de_Alcalá_UAH,Unknown,0,2025-04-07,0,2025-04-07,Unknown
Lithuanian_Centre_for_Quality_Assessment_SKVC,Unknown,0,2025-04-07,0,2025-04-07,Unknown
Howest,Unknown,0,2025-04-07,0,2025-04-07,Unknown
University_of_Bologna,Unknown,0,2025-04-07,0,2025-04-07,Unknown
SURF,Unknown,0,2025-04-07,0,2025-04-07,Unknown
Universidad_de_Málaga,Unknown,0,2025-04-07,0,2025-04-07,Unknown
COFAC_-_Lusofona_University,Unknown,0,2025-04-07,0,2025-04-07,Unknown
SKS,Unknown,0,2025-04-07,0,2025-04-07,Unknown
Edutus_University,Unknown,0,2025-04-07,0,2025-04-07,Unknown
Sikt,Unknown,0,2025-04-07,0,2025-04-07,Unknown
Ladokkonsortiet,Unknown,0,2025-04-07,0,2025-04-07,Unknown
Budapest_University_of_Technology_and_Economics,Unknown,0,2025-04-07,0,2025-04-07,Unknown
Vytautas_Magnus_University,Unknown,0,2025-04-07,0,2025-04-07,Unknown
University_of_Porto,Unknown,0,2025-04-07,0,2025-04-07,Unknown
UMAIA,Unknown,0,2025-04-07,0,2025-04-07,Unknown
University_of_Zielona_Góra,Unknown,0,2025-04-07,0,2025-04-07,Unknown
Universidad_Politécnica_de_Madrid,Unknown,0,2025-04-07,0,2025-04-07,Unknown
GovPart,Unknown,0,2025-04-07,0,2025-04-07,Unknown
RISE_-_Research_Institutes_of_Sweden,Unknown,0,2025-04-07,0,2025-04-07,Unknown
UNED,Unknown,0,2025-04-07,0,2025-04-07,Unknown
Universitat_Rovira_i_Virgili,Unknown,0,2025-04-07,0,2025-04-07,Unknown
Saxion,Unknown,0,2025-04-07,0,2025-04-07,Unknown
